#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr12-3253	chr12	111665005	111665505	+	48.2	0.787	71.0	7.46	7.52e-100	1.16
chr13-1759	chr13	55405340	55405840	+	48.2	0.717	183.0	14.85	4.37e-153	1.15
chr13-2304	chr13	58481126	58481626	+	48.2	0.725	135.0	8.14	2.3299999999999997e-106	1.1
chr13-6914	chr13	104094668	104095168	+	48.2	0.773	36.5	9.88	4.4e-121	1.19
chr13-1588	chr13	97939289	97939789	+	48.2	0.692	201.5	8.39	1.1999999999999999e-108	1.15
chr14-1326	chr14	9245240	9245740	+	48.2	0.785	181.5	74.2	4.01e-286	1.11
chr14-4131	chr14	25345947	25346447	+	48.2	0.785	46.0	7.12	2.27e-96	1.34
chr14-3860	chr14	75938887	75939387	+	48.2	0.715	50.0	18.11	4.9400000000000004e-169	1.13
chr14-1286	chr14	55823147	55823647	+	48.2	0.571	188.0	24.49	1.33e-193	0.99
chr12-1510	chr12	90781406	90781906	+	48.2	0.735	181.0	133.01	0.0	1.1
chr12-1453	chr12	109397511	109398011	+	48.2	0.724	189.5	20.72	5.839999999999999e-180	1.03
chr10-1956	chr10	25275445	25275945	+	48.2	0.765	176.5	9.41	2.4400000000000003e-117	1.14
chr12-1487	chr12	73210378	73210878	+	48.2	0.709	184.5	18.51	8.94e-171	1.18
chr11-5479	chr11	116074348	116074848	+	48.2	0.736	86.5	7.14	1.19e-96	1.16
chr11-8616	chr11	113032434	113032934	+	48.2	0.781	48.5	8.48	1.9800000000000002e-109	1.27
chr11-2735	chr11	105312926	105313426	+	48.2	0.532	203.5	8.26	1.71e-107	0.98
chr11-3008	chr11	100527055	100527555	+	48.2	0.401	181.0	8.15	2.0199999999999999e-106	1.1
chr11-2888	chr11	85379037	85379537	+	48.2	0.749	190.5	14.56	1.59e-151	1.05
chr11-6617	chr11	83271044	83271544	+	48.2	0.85	67.5	6.52	5.97e-90	1.35
chr11-2946	chr11	62986516	62987016	+	48.2	0.724	185.5	9.84	9.4e-121	1.07
chr11-2892	chr11	59410782	59411282	+	48.2	0.782	190.0	5.11	1.0600000000000001e-72	1.12
chr11-3424	chr11	53735543	53736043	+	48.2	0.818	155.5	17.35	1.4799999999999999e-165	1.47
chr11-9679	chr11	32226220	32226720	+	48.2	0.742	42.0	5.79	1.61e-81	1.43
chr9-2206	chr9	96881255	96881755	+	48.2	0.719	174.5	4.3	4.69e-61	1.08
chr14-1316	chr14	123056928	123057428	+	48.2	0.74	184.0	38.57	3.41e-231	1.05
chr14-1325	chr14	99876636	99877136	+	48.2	0.723	182.0	45.0	4.4399999999999996e-244	1.1
chrX-646	chrX	168672391	168672891	+	48.2	0.808	178.0	13.45	3.47e-145	1.2
chr15-1946	chr15	56420631	56421131	+	48.2	0.687	206.0	32.11	5.91e-216	0.99
chr17-1734	chr17	63849540	63850040	+	48.2	0.751	180.0	7.56	7.08e-101	1.13
chrX_GL456233_random-3	chrX_GL456233_random	38964	39464	+	48.2	0.805	18.0	143.77	0.0	1.21
chr9-2051	chr9	71756869	71757369	+	48.2	0.656	188.5	16.24	3.08e-160	1.09
chrX-613	chrX	102643985	102644485	+	48.2	0.705	188.5	38.38	8.78e-231	1.01
chrX-588	chrX	101472108	101472608	+	48.2	0.72	196.0	63.07	2.0200000000000002e-272	1.08
chrX-624	chrX	48314565	48315065	+	48.2	0.744	185.5	75.64	9.68e-288	1.07
chrX-2371	chrX	7308102	7308602	+	48.2	0.665	40.5	12.84	1.51e-141	1.23
chr19-2282	chr19	23687108	23687608	+	48.2	0.667	90.0	51.79	7.32e-256	1.13
chr18-1110	chr18	16713492	16713992	+	48.2	0.655	197.0	16.98	8.01e-164	0.97
chr17-1680	chr17	84244414	84244914	+	48.2	0.719	186.0	37.39	1.3199999999999998e-228	1.02
chr17-1650	chr17	80981732	80982232	+	48.2	0.722	190.0	77.59	6.85e-290	1.05
chr17-1648	chr17	71795698	71796198	+	48.2	0.684	190.0	13.93	5.44e-148	1.12
chr17-2369	chr17	64836931	64837431	+	48.2	0.739	124.0	41.47	3e-237	1.12
chr17-1667	chr17	28691683	28692183	+	48.2	0.417	187.5	8.32	4.72e-108	1.08
chr15-2270	chr15	58412604	58413104	+	48.2	0.785	173.0	19.33	2.65e-174	1.22
chr17-5648	chr17	15065689	15066189	+	48.2	0.745	42.5	8.84	1.3e-112	1.56
chr17-1630	chr17	6778839	6779339	+	48.2	0.714	191.5	11.47	1.0600000000000001e-132	1.02
chr17-3486	chr17	3452634	3453134	+	48.2	0.667	76.5	5.79	1.69e-81	1.13
chr16-1255	chr16	37636027	37636527	+	48.2	0.778	185.5	16.82	4.6600000000000003e-163	1.12
chr16-1355	chr16	35983438	35983938	+	48.2	0.507	170.0	15.77	6.61e-158	1.16
chr16-6107	chr16	13350685	13351185	+	48.2	0.773	28.0	14.61	8.559999999999999e-152	1.15
chr15-9228	chr15	102202977	102203477	+	48.2	0.829	33.5	8.59	1.88e-110	1.42
chr15-2093	chr15	100775676	100776176	+	48.2	0.642	190.0	4.38	2.15e-62	1.03
chr15-2146	chr15	98706357	98706857	+	48.2	0.727	184.0	5.9	7.39e-83	1.01
chr15-3553	chr15	63411101	63411601	+	48.2	0.621	101.0	11.35	7.75e-132	1.09
chr15-2830	chr15	63065900	63066400	+	48.2	0.697	134.5	22.75	1.43e-187	0.98
chr15-2107	chr15	61984213	61984713	+	48.2	0.576	188.5	4.81	1.43e-68	1.15
chr9-2056	chr9	78473420	78473920	+	48.2	0.606	188.0	4.48	7.23e-64	1.01
chr18-1187	chr18	90579503	90580003	+	48.2	0.708	184.5	105.69	4.84e-316	1.09
chr9-4188	chr9	70733109	70733609	+	48.2	0.782	82.5	51.66	1.22e-255	1.08
chr2-6669	chr2	125731663	125732163	+	48.2	0.799	66.0	25.21	5.28e-196	1.31
chr3-2898	chr3	158031495	158031995	+	48.2	0.754	117.5	24.56	7.34e-194	1.08
chr3-1953	chr3	151298196	151298696	+	48.2	0.813	182.5	46.5	8.060000000000001e-247	1.12
chr3-1900	chr3	136940959	136941459	+	48.2	0.775	187.5	91.58	6.59e-304	1.07
chr3-1952	chr3	135731190	135731690	+	48.2	0.721	182.5	13.99	2.65e-148	1.18
chr3-1897	chr3	99253030	99253530	+	48.2	0.655	187.5	33.08	1.92e-218	1.05
chr3-4125	chr3	90223029	90223529	+	48.2	0.759	77.0	9.7	1.1699999999999999e-119	1.02
chr3-1983	chr3	85928245	85928745	+	48.2	0.757	178.5	11.39	3.7300000000000004e-132	1.16
chr3-1969	chr3	84355806	84356306	+	48.2	0.759	180.0	26.64	1.5800000000000002e-200	1.2
chr3-5709	chr3	52535498	52535998	+	48.2	0.615	51.5	5.64	1.1900000000000001e-79	1.15
chr2-8001	chr2	166426844	166427344	+	48.2	0.664	53.5	5.73	1.1e-80	1.29
chr2-2645	chr2	166370687	166371187	+	48.2	0.783	189.0	6.26	5.15e-87	1.02
chr2-2566	chr2	131686753	131687253	+	48.2	0.549	195.5	4.78	3.93e-68	1.08
chr2-10331	chr2	113791449	113791949	+	48.2	0.747	39.5	21.02	3.91e-181	1.14
chr4-7584	chr4	46563669	46564169	+	48.2	0.768	44.5	13.33	1.76e-144	1.25
chr2-2616	chr2	92047532	92048032	+	48.2	0.755	191.0	6.83	2.05e-93	1.02
chr2-2600	chr2	72320575	72321075	+	48.2	0.692	192.5	9.06	1.94e-114	1.02
chr2-11742	chr2	52952153	52952653	+	48.2	0.672	34.0	5.32	1.63e-75	1.27
chr2-3115	chr2	38926504	38927004	+	48.2	0.714	159.0	7.54	1.2e-100	1.29
chr2-2660	chr2	26389091	26389591	+	48.2	0.664	188.0	10.39	5.86e-125	1.08
chr2-2528	chr2	5607687	5608187	+	48.2	0.725	198.0	4.77	4.32e-68	1.01
chr1-6557	chr1	183144514	183145014	+	48.2	0.745	61.5	5.8	1.29e-81	1.24
chr1-2687	chr1	179862834	179863334	+	48.2	0.689	177.5	10.77	9.57e-128	1.05
chr1-7832	chr1	136613291	136613791	+	48.2	0.652	49.5	15.08	2.62e-154	1.12
chr1-7123	chr1	91612839	91613339	+	48.2	0.827	55.5	26.07	9.41e-199	1.2
chr1-2414	chr1	74249257	74249757	+	48.2	0.553	200.0	11.49	8.54e-133	1.21
chr9-2031	chr9	34091522	34092022	+	48.2	0.717	191.0	96.56	2.1899999999999997e-308	1.05
chr4-2311	chr4	41078661	41079161	+	48.2	0.782	183.0	18.01	1.38e-168	1.05
chr1-5032	chr1	119541113	119541613	+	48.2	0.725	84.0	18.5	9.76e-171	1.13
chr4-2346	chr4	59034972	59035472	+	48.2	0.731	179.0	37.89	9.99e-230	1.14
chr6-6397	chr6	108527930	108528430	+	48.2	0.809	45.5	8.82	1.93e-112	1.22
chr4-2345	chr4	80910416	80910916	+	48.2	0.66	179.5	6.66	1.41e-91	1.07
chr9-2052	chr9	32749644	32750144	+	48.2	0.76	188.0	22.68	2.47e-187	1.05
chr8-7984	chr8	123442787	123443287	+	48.2	0.807	37.0	22.23	1.0900000000000002e-185	1.7
chr8-2092	chr8	34752978	34753478	+	48.2	0.714	184.5	13.67	1.7699999999999999e-146	1.07
chr7-4425	chr7	143052538	143053038	+	48.2	0.694	74.0	4.93	2.4700000000000002e-70	1.16
chr7-2593	chr7	118252217	118252717	+	48.2	0.567	143.5	4.57	3.85e-65	1.32
chr7-2089	chr7	110238089	110238589	+	48.2	0.674	185.0	8.8	3.09e-112	1.05
chr7-5645	chr7	75781921	75782421	+	48.2	0.79	54.0	13.61	4.05e-146	1.24
chr7-2020	chr7	58676983	58677483	+	48.2	0.763	192.0	25.34	1.9799999999999998e-196	0.99
chr7-2131	chr7	43466328	43466828	+	48.2	0.63	180.5	9.09	1.1e-114	1.2
chr6-1771	chr6	121159668	121160168	+	48.2	0.708	200.5	14.72	2.31e-152	1.05
chr6-1798	chr6	114457234	114457734	+	48.2	0.585	197.5	12.31	3.33e-138	0.92
chr8-2109	chr8	71496411	71496911	+	48.2	0.794	182.5	7.19	3.5300000000000003e-97	1.14
chr6-1978	chr6	94647995	94648495	+	48.2	0.72	178.0	6.23	1.02e-86	1.11
chr5-4594	chr5	64241676	64242176	+	48.2	0.749	77.5	9.26	3.9e-116	1.14
chr6-1858	chr6	54277177	54277677	+	48.2	0.667	190.5	4.71	3.45e-67	0.95
chr4-2157	chr4	94049576	94050076	+	48.2	0.75	198.0	99.0	1.68e-310	1.06
chr4-5388	chr4	88334375	88334875	+	48.2	0.748	67.0	60.53	5.79e-269	1.07
chr4-2168	chr4	129951469	129951969	+	48.2	0.661	197.5	26.53	3.4200000000000006e-200	1.0
chr4-2337	chr4	149401498	149401998	+	48.2	0.743	180.5	10.31	2.19e-124	1.1
chr4-2302	chr4	118409032	118409532	+	48.2	0.749	184.5	9.73	6.88e-120	1.03
chr5-4595	chr5	65536845	65537345	+	48.2	0.788	77.5	12.22	1.3e-137	1.16
chr5-2225	chr5	66642097	66642597	+	48.2	0.795	186.0	10.44	2.38e-125	1.11
chr5-2239	chr5	97846415	97846915	+	48.2	0.718	185.0	55.63	7.459999999999999e-262	1.09
chr5-1984	chr5	134932480	134932980	+	48.2	0.538	209.0	12.29	4.68e-138	1.0
chr5-3691	chr5	139199995	139200495	+	48.2	0.755	101.0	4.18	3.37e-59	1.21
chr15-2222	chr15	58777289	58777789	+	48.0	0.747	177.5	22.15	1.34e-185	1.14
chr15-5082	chr15	56022345	56022845	+	48.0	0.808	65.5	15.2	4.1e-155	1.28
chr15-2105	chr15	25826344	25826844	+	48.0	0.701	188.5	8.69	1.72e-111	1.04
chr14-1323	chr14	55900005	55900505	+	48.0	0.797	182.0	9.92	1.31e-121	1.15
chr14-4802	chr14	7943044	7943544	+	48.0	0.802	39.0	5.99	5.11e-84	1.42
chr13-6173	chr13	64248412	64248912	+	48.0	0.694	41.5	18.26	6.719999999999999e-170	1.18
chr13-1804	chr13	52307003	52307503	+	48.0	0.786	179.0	43.2	7.19e-241	1.23
chr12-1430	chr12	105546410	105546910	+	48.0	0.61	193.0	5.93	2.3e-83	0.97
chr12-1459	chr12	78910605	78911105	+	48.0	0.698	188.0	11.11	2.22e-130	1.05
chr12-1557	chr12	77628321	77628821	+	48.0	0.744	174.5	14.45	4.41e-151	1.15
chr12-1494	chr12	76370837	76371337	+	48.0	0.576	183.0	6.9	2.5e-94	1.06
chr11-2971	chr11	61648241	61648741	+	48.0	0.707	183.0	10.29	1.9e-124	1.08
chr11-6622	chr11	96915974	96916474	+	48.0	0.594	67.5	4.89	5.7700000000000004e-70	1.16
chr11-2879	chr11	96786601	96787101	+	48.0	0.739	191.0	5.28	3.8e-75	1.01
chr11-3203	chr11	82908160	82908660	+	48.0	0.813	168.5	20.77	2.38e-180	1.18
chr11-2928	chr11	75798741	75799241	+	48.0	0.729	187.5	6.72	2.37e-92	1.04
chr11-8010	chr11	73192926	73193426	+	48.0	0.727	53.0	6.98	3.7699999999999995e-95	1.09
chr11-8231	chr11	6625556	6626056	+	48.0	0.571	51.0	13.43	2.7e-145	1.44
chr10-3101	chr10	37480258	37480758	+	48.0	0.715	103.5	17.59	7.44e-167	1.11
chr10-5343	chr10	24554072	24554572	+	48.0	0.793	55.5	86.68	1.8099999999999998e-299	1.18
chr9-6950	chr9	107338172	107338672	+	48.0	0.768	46.0	24.99	1.7800000000000002e-195	1.26
chr9-1955	chr9	107296005	107296505	+	48.0	0.53	200.5	6.22	9.45e-87	1.03
chr15-8361	chr15	79773973	79774473	+	48.0	0.684	37.0	4.65	1.87e-66	1.38
chr9-2499	chr9	71806333	71806833	+	48.0	0.786	153.0	4.4	7.3e-63	1.56
chr15-4298	chr15	78178323	78178823	+	48.0	0.687	80.0	4.54	7.89e-65	1.08
chr17-1690	chr17	43619085	43619585	+	48.0	0.777	185.0	52.29	7.210000000000001e-257	1.09
chr15-2171	chr15	97814647	97815147	+	48.0	0.806	181.0	4.24	2.2099999999999998e-60	1.06
chr15-2027	chr15	98108208	98108708	+	48.0	0.746	196.5	13.02	7.45e-143	1.05
chr9-2010	chr9	35424678	35425178	+	48.0	0.763	193.0	10.74	1.01e-127	1.02
chrX-3114	chrX	11528431	11528931	+	48.0	0.689	29.5	34.28	1.36e-221	1.2
chr19-3361	chr19	55466762	55467262	+	48.0	0.736	55.5	21.67	8.270000000000001e-184	1.02
chr19-3622	chr19	41829514	41830014	+	48.0	0.701	50.5	9.18	1.05e-115	1.42
chr19-1285	chr19	7306905	7307405	+	48.0	0.776	181.0	9.56	8.27e-119	1.12
chr19-1254	chr19	5988378	5988878	+	48.0	0.64	186.5	11.41	1.88e-132	1.01
chr18-4545	chr18	80206457	80206957	+	48.0	0.756	40.0	13.51	9.839999999999999e-146	1.39
chr18-1105	chr18	73541384	73541884	+	48.0	0.467	198.0	24.24	5.46e-193	1.02
chr18-2998	chr18	38098085	38098585	+	48.0	0.733	64.5	15.78	3.92e-158	1.09
chr18-1169	chr18	9743178	9743678	+	48.0	0.756	186.5	18.67	1.06e-171	1.05
chr17-1635	chr17	78322745	78323245	+	48.0	0.631	191.5	25.04	1.24e-195	1.04
chr17-3374	chr17	56218691	56219191	+	48.0	0.782	80.0	10.87	1.03e-128	1.22
chr17-3595	chr17	46782434	46782934	+	48.0	0.737	74.5	10.25	4.220000000000001e-124	1.26
chr17-1636	chr17	6778839	6779339	+	48.0	0.709	191.0	11.44	1.11e-132	1.02
chr16-5900	chr16	92550118	92550618	+	48.0	0.701	29.5	7.51	1.46e-100	1.16
chr16-1279	chr16	92103513	92104013	+	48.0	0.784	182.5	13.42	3.06e-145	1.15
chr16-1956	chr16	80083031	80083531	+	48.0	0.779	107.0	170.33	0.0	1.11
chr16-2633	chr16	78576177	78576677	+	48.0	0.758	74.5	15.12	9.67e-155	1.31
chr16-1237	chr16	75752777	75753277	+	48.0	0.828	188.0	12.02	1.45e-136	1.09
chr16-5388	chr16	62729711	62730211	+	48.0	0.659	32.5	23.0	1.13e-188	1.44
chr16-2578	chr16	21794065	21794565	+	48.0	0.742	76.5	40.63	9.31e-236	1.17
chr16-1249	chr16	8513182	8513682	+	48.0	0.798	186.0	49.88	6.48e-253	1.1
chr15-2250	chr15	103152819	103153319	+	48.0	0.78	175.5	5.4	1.02e-76	1.21
chr9-2084	chr9	54645820	54646320	+	48.0	0.619	185.5	5.36	2.88e-76	0.99
chr8-2089	chr8	122332828	122333328	+	48.0	0.691	185.0	7.09	2.42e-96	1.04
chr9-2089	chr9	21168133	21168633	+	48.0	0.587	185.0	6.26	3.46e-87	1.09
chr5-2256	chr5	107986990	107987490	+	48.0	0.531	184.0	12.88	5.46e-142	1.04
chr5-2187	chr5	24351583	24352083	+	48.0	0.701	189.0	12.04	1.23e-136	1.08
chr5-5291	chr5	14514761	14515261	+	48.0	0.77	65.5	108.35	2.3e-318	1.18
chr4-14741	chr4	133116699	133117199	+	48.0	0.73	21.5	5.52	2.89e-78	1.08
chr4-2262	chr4	116995125	116995625	+	48.0	0.743	188.5	7.8	2.07e-103	1.09
chr4-6944	chr4	105213228	105213728	+	48.0	0.692	49.5	10.48	7.569999999999999e-126	1.36
chr4-3282	chr4	88977090	88977590	+	48.0	0.795	122.0	8.41	4.710000000000001e-109	1.15
chr4-2314	chr4	88515601	88516101	+	48.0	0.757	182.5	22.11	1.8500000000000003e-185	1.13
chr4-2222	chr4	81441929	81442429	+	48.0	0.568	192.5	14.65	3.27e-152	1.01
chr4-10201	chr4	62763938	62764438	+	48.0	0.809	31.5	7.1	2.2000000000000002e-96	1.35
chr4-2199	chr4	48754714	48755214	+	48.0	0.768	194.5	65.01	3.49e-275	1.0
chr3-1935	chr3	131917720	131918220	+	48.0	0.77	184.0	11.36	3.93e-132	1.08
chr3-1941	chr3	123690558	123691058	+	48.0	0.541	183.5	42.63	9.12e-240	1.06
chr3-3099	chr3	120175576	120176076	+	48.0	0.762	109.0	52.85	8.98e-258	1.04
chr3-2062	chr3	70803832	70804332	+	48.0	0.663	171.5	34.98	2.7300000000000003e-223	1.19
chr2-2549	chr2	135658399	135658899	+	48.0	0.731	197.0	26.79	3.33e-201	1.08
chr2-2629	chr2	78868489	78868989	+	48.0	0.734	190.0	57.62	5.07e-265	1.06
chr2-6647	chr2	34639227	34639727	+	48.0	0.726	66.0	9.47	4.63e-118	1.23
chr2-3859	chr2	27687910	27688410	+	48.0	0.755	124.0	8.18	6.58e-107	1.1
chr1-2637	chr1	178527130	178527630	+	48.0	0.671	181.5	18.5	6.28e-171	1.1
chr1-2548	chr1	134818646	134819146	+	48.0	0.702	190.0	28.04	5.71e-205	1.01
chr1-2527	chr1	89804922	89805422	+	48.0	0.754	191.5	25.85	2.9200000000000002e-198	1.02
chr1-2594	chr1	64433871	64434371	+	48.0	0.78	185.0	46.88	1.01e-247	1.1
chr9-2068	chr9	13563944	13564444	+	48.0	0.709	186.5	15.36	5.84e-156	1.09
chr5-2150	chr5	90880412	90880912	+	48.0	0.717	192.5	7.63	9.29e-102	0.99
chr3-9340	chr3	157885436	157885936	+	48.0	0.745	29.5	30.83	8.09e-213	1.4
chr5-2182	chr5	113989557	113990057	+	48.0	0.757	189.5	8.42	4.37e-109	1.06
chr6-2027	chr6	147117720	147118220	+	48.0	0.787	175.0	25.99	1.07e-198	1.15
chr5-22400	chr5	119213121	119213621	+	48.0	0.773	14.0	12.16	2.0399999999999998e-137	1.36
chr8-2020	chr8	27174437	27174937	+	48.0	0.706	190.5	26.9	1.52e-201	1.07
chr8-2054	chr8	10926507	10927007	+	48.0	0.737	187.5	9.75	2.61e-120	1.06
chr7-3459	chr7	139516217	139516717	+	48.0	0.68	100.5	45.15	1.46e-244	1.01
chr7-2013	chr7	125565474	125565974	+	48.0	0.653	193.0	6.68	6.69e-92	1.02
chr7-6374	chr7	114029539	114030039	+	48.0	0.771	46.5	36.59	5e-227	1.17
chr7-2341	chr7	95852626	95853126	+	48.0	0.516	161.5	12.51	1.05e-139	1.1
chr7-6603	chr7	82464267	82464767	+	48.0	0.752	44.5	25.04	1.24e-195	1.24
chr7-2011	chr7	75788033	75788533	+	48.0	0.745	193.0	14.76	8.18e-153	1.05
chr7-4010	chr7	75642199	75642699	+	48.0	0.737	84.0	9.88	2.81e-121	1.18
chr7-1936	chr7	4788642	4789142	+	48.0	0.661	200.0	5.82	4.5499999999999996e-82	0.96
chr8-4821	chr8	111643204	111643704	+	48.0	0.71	65.0	7.47	3.67e-100	1.4
chr6-1903	chr6	116642969	116643469	+	48.0	0.689	186.0	10.69	2.1e-127	1.04
chr6-1885	chr6	49966150	49966650	+	48.0	0.719	187.5	36.76	2.03e-227	1.04
chr5-2143	chr5	125531737	125532237	+	48.0	0.69	193.5	30.28	2.51e-211	0.99
chr5-3879	chr5	136967469	136967969	+	48.0	0.712	95.5	5.0	2.0600000000000002e-71	1.14
chr6-2090	chr6	48218939	48219439	+	48.0	0.822	168.5	24.97	2.0100000000000002e-195	1.21
chr5-8722	chr5	122166511	122167011	+	48.0	0.669	36.0	5.38	1.55e-76	1.4
chr6-1863	chr6	71418785	71419285	+	48.0	0.749	190.0	6.51	5.0499999999999995e-90	1.03
chr6-1844	chr6	86849201	86849701	+	48.0	0.688	192.5	27.24	1.42e-202	1.03
chr6-1954	chr6	96268672	96269172	+	48.0	0.788	181.0	28.22	1.6599999999999999e-205	1.09
chr6-2744	chr6	112261047	112261547	+	48.0	0.764	123.5	6.65	1.45e-91	0.99
chr12-1493	chr12	76370837	76371337	+	47.9	0.402	183.0	6.88	1.78e-93	1.07
chr11-5133	chr11	22830258	22830758	+	47.9	0.723	94.0	14.45	3.71e-150	1.12
chr12-5946	chr12	73786853	73787353	+	47.9	0.829	34.5	4.11	6.02e-58	1.38
chr12-3304	chr12	35291710	35292210	+	47.9	0.695	69.0	11.36	2.79e-131	1.25
chr12-2006	chr12	24650746	24651246	+	47.9	0.647	127.5	6.59	2.59e-90	1.07
chr11-3183	chr11	121407293	121407793	+	47.9	0.673	169.5	6.89	1.49e-93	1.13
chr11-3085	chr11	88745466	88745966	+	47.9	0.827	175.0	22.49	1.07e-185	1.2
chr11-9522	chr11	80208693	80209193	+	47.9	0.74	43.0	14.67	2.58e-151	1.63
chr11-6545	chr11	70873970	70874470	+	47.9	0.687	68.5	26.5	4.2e-199	1.04
chr11-3169	chr11	69375594	69376094	+	47.9	0.838	170.0	4.15	1.36e-58	1.23
chr11-2840	chr11	50915938	50916438	+	47.9	0.765	195.0	41.35	8.279999999999999e-236	1.15
chr11-4333	chr11	50769404	50769904	+	47.9	0.706	116.0	42.34	8.96e-238	1.13
chr9-3793	chr9	123137170	123137670	+	47.9	0.68	94.0	8.92	1.11e-112	1.09
chr10-9704	chr10	67344667	67345167	+	47.9	0.758	28.0	12.33	1.17e-137	1.31
chr10-4158	chr10	44150508	44151008	+	47.9	0.651	75.0	20.19	6.02e-177	1.1
chr10-1845	chr10	20817985	20818485	+	47.9	0.682	187.5	19.16	1.06e-172	1.04
chr10-3516	chr10	4395303	4395803	+	47.9	0.73	90.5	9.28	9.520000000000001e-116	1.03
chr12-1456	chr12	95376731	95377231	+	47.9	0.65	188.5	54.88	2.1200000000000003e-259	1.0
chr9-2019	chr9	121822553	121823053	+	47.9	0.708	192.5	24.7	2.39e-193	0.97
chr9-3074	chr9	103932472	103932972	+	47.9	0.766	120.5	21.21	5.920000000000001e-181	1.04
chr9-10164	chr9	99719959	99720459	+	47.9	0.707	30.0	13.7	6.33e-146	1.54
chr9-2040	chr9	71694119	71694619	+	47.9	0.677	190.0	16.61	3.24e-161	1.07
chr9-5886	chr9	56937183	56937683	+	47.9	0.735	55.5	5.03	2.71e-71	1.29
chr9-1987	chr9	51102950	51103450	+	47.9	0.681	196.5	37.27	3.43e-227	1.02
chr9-2061	chr9	49722718	49723218	+	47.9	0.739	187.5	32.94	5.39e-217	1.01
chr12-3610	chr12	82469936	82470436	+	47.9	0.75	62.0	26.56	2.85e-199	1.13
chr19-7655	chr19	36490770	36491270	+	47.9	0.766	21.0	16.52	8.31e-161	1.42
chr12-5236	chr12	95962748	95963248	+	47.9	0.766	40.0	91.33	3.82e-302	1.18
chr13-1777	chr13	21881830	21882330	+	47.9	0.749	181.5	22.82	7e-187	1.13
chrX-704	chrX	36939778	36940278	+	47.9	0.739	164.0	41.7	1.62e-236	1.16
chr19-1212	chr19	28203443	28203943	+	47.9	0.657	195.0	59.86	1.15e-266	1.0
chr18-1144	chr18	64887942	64888442	+	47.9	0.566	192.0	13.87	7.09e-147	1.09
chr8-2374	chr8	124793135	124793635	+	47.9	0.646	160.0	39.54	4.24e-232	1.29
chr17-1923	chr17	73970571	73971071	+	47.9	0.664	158.5	10.08	4.7600000000000004e-122	1.14
chr17-1660	chr17	71310746	71311246	+	47.9	0.668	188.5	11.35	3.2699999999999997e-131	1.01
chr17-3628	chr17	15498060	15498560	+	47.9	0.748	73.5	10.99	1.07e-128	1.21
chr17-1779	chr17	3180451	3180951	+	47.9	0.804	174.5	11.52	2.23e-132	1.16
chr16-1233	chr16	37776802	37777302	+	47.9	0.683	188.5	4.03	1.18e-56	1.03
chr16-1222	chr16	31192503	31193003	+	47.9	0.706	189.5	7.74	4.6499999999999996e-102	1.01
chr16-2422	chr16	26003192	26003692	+	47.9	0.726	82.0	14.51	1.76e-150	1.26
chr15-2115	chr15	100413987	100414487	+	47.9	0.785	187.5	8.05	5.14e-105	1.08
chr15-4885	chr15	98580014	98580514	+	47.9	0.758	69.0	4.42	1.41e-62	1.23
chr15-4383	chr15	74737881	74738381	+	47.9	0.777	78.0	5.03	2.83e-71	1.05
chr15-2305	chr15	59733856	59734356	+	47.9	0.663	170.0	5.95	5.31e-83	1.11
chr14-1260	chr14	86159013	86159513	+	47.9	0.737	192.0	52.65	6.159999999999999e-256	1.05
chr14-1283	chr14	64632802	64633302	+	47.9	0.762	188.5	11.75	7.229999999999999e-134	1.05
chr14-4938	chr14	64038888	64039388	+	47.9	0.746	38.0	24.97	3.1e-194	1.32
chr14-5868	chr14	62530786	62531286	+	47.9	0.742	31.5	11.49	3.79e-132	1.31
chr13-1776	chr13	108812987	108813487	+	47.9	0.67	182.0	10.04	9.440000000000001e-122	1.03
chr13-1719	chr13	69809594	69810094	+	47.9	0.622	187.0	50.07	9.430000000000001e-252	1.15
chr13-1801	chr13	37847563	37848063	+	47.9	0.803	179.5	10.89	5.58e-128	1.12
chr13-1824	chr13	34037356	34037856	+	47.9	0.791	177.0	36.19	9.079999999999999e-225	1.13
chr9-6528	chr9	34279227	34279727	+	47.9	0.735	49.0	6.98	1.78e-94	1.43
chr18-1083	chr18	18960347	18960847	+	47.9	0.668	201.5	114.1	6.66e-321	1.11
chr8-2137	chr8	111536090	111536590	+	47.9	0.663	180.0	14.82	3.71e-152	1.07
chr2-3814	chr2	35508601	35509101	+	47.9	0.695	126.0	17.83	6.34e-167	0.98
chr3-3333	chr3	144466208	144466708	+	47.9	0.759	100.5	29.41	1.2199999999999998e-207	1.12
chr3-1889	chr3	104359460	104359960	+	47.9	0.434	188.5	5.45	8.11e-77	1.02
chr3-5721	chr3	89182850	89183350	+	47.9	0.728	51.5	6.64	7.9e-91	1.25
chr3-1917	chr3	85924296	85924796	+	47.9	0.682	185.5	22.73	1.51e-186	1.1
chr2-6633	chr2	180171077	180171577	+	47.9	0.793	66.5	7.4	8.8e-99	1.27
chr2-7818	chr2	168206860	168207360	+	47.9	0.642	55.0	14.19	9.94e-149	1.39
chr2-7863	chr2	137566560	137567060	+	47.9	0.823	54.5	38.98	6.3e-231	1.29
chr2-3006	chr2	137566560	137567060	+	47.9	0.822	165.5	38.11	4.88e-229	1.29
chr2-5482	chr2	120352830	120353330	+	47.9	0.746	83.0	39.58	3.49e-232	1.1
